image_path,caption,width,height,similarity,punsafe,pwatermark,aesthetic_score,caption_len_words
data/laion_aesthetic_subset\000014.jpg,3d Roof Wallpaper Artstation Victorian London During The Night Pau Minguell,1692.0,720.0,0.3144936859607696,0.0004234313964843,0.1299365907907486,6.667487144470215,11
data/laion_aesthetic_subset\000017.jpg,Impressionism Paris: Impressionist Paris Street Cityscape In Early 19th Century,946.0,791.0,0.3043047487735748,4.333391188993119e-06,0.0466123931109905,6.647584438323975,10
data/laion_aesthetic_subset\000022.jpg,CANVAS 1940s Pin-Up Girl in the Yellow Dress Picture Art print POSTER,475.0,679.0,0.3117697238922119,0.000851422548294,0.185261845588684,6.517694473266602,12
data/laion_aesthetic_subset\000024.jpg,"Derek Penix, French Harbor, oil painting",600.0,500.0,0.3308541178703308,3.168927287333645e-05,0.0903845578432083,6.747560977935791,6
data/laion_aesthetic_subset\000028.jpg,VFM Signature 34-00Stationary Living Room Group,1024.0,768.0,0.3048360049724579,9.33288101805374e-05,0.0014345626113936,6.535976886749268,6
data/laion_aesthetic_subset\000029.jpg,"Metro Exodus, wallpapers, bacgkround",600.0,338.0,0.31460902094841,3.498201840557158e-05,0.0601226352155208,6.701307773590088,4
data/laion_aesthetic_subset\000030.jpg,Death Valley Photography,1080.0,675.0,0.3157583475112915,2.698273783607874e-05,0.1304486095905304,6.701132297515869,3
data/laion_aesthetic_subset\000033.jpg,"""""""Apple with brown pot"""" original fine art by Dave Froude""",800.0,641.0,0.3234746754169464,3.2163848118216265e-07,0.033714659512043,6.623959541320801,10
data/laion_aesthetic_subset\000036.jpg,"CHRIS BURKARD 2014 TRAVEL ALBERTA TOURISM SUMMER / FALL SHOOT CANADA CHRISTIAN FERNANDEZ, JEFFREY SPACKMAN",328.0,490.0,0.3284314572811126,1.2921912457386496e-05,0.1128698140382766,6.533769607543945,15
data/laion_aesthetic_subset\000037.jpg,"Aoraki / Mount Cook National Park, New Zealand",1500.0,2250.0,0.3451451659202575,1.944162977451924e-05,0.0774098709225654,6.6569905281066895,8
data/laion_aesthetic_subset\000039.jpg,Picture no: 11967054 Dolomiten-2 Created by: danielschoenen,449.0,300.0,0.323837012052536,1.9539400454959832e-05,0.1131750866770744,6.731750965118408,7
data/laion_aesthetic_subset\000045.jpg,"Watercolour painting tutorial, Christmas Snow with figures",600.0,415.0,0.3463840782642364,5.707387913389539e-07,0.1143297329545021,6.682719707489014,7
data/laion_aesthetic_subset\000046.jpg,Disney's new Star Wars land will likely be getting the world's,610.0,367.0,0.3203537166118622,8.908682502806187e-05,0.0373671203851699,7.086170673370361,11
